fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.56651,0.0056,0.00733,0.82937,0.00062,4.2956,0.63589,4.41914,1.21698,2.8055,0.0165,0.78734,0.19132,0.0,0.09801,0.95,0.0,0.0,0.0,0.23039,0.0,0.93915,0.0,0.0,0.0,7
0.51658,0.00779,0.01077,0.84585,0.00047,4.1935,0.57518,6.00356,1.25647,1.97595,0.02265,0.9,0.20325,0.0,0.07898,0.855,0.0,0.0,0.0,0.29989,0.0,0.74807,0.0,0.0,0.0,6
0.55915,0.00449,0.00556,0.89443,0.00031,3.85418,0.84084,4.5626,1.09331,1.99318,0.01572,0.86567,0.14305,0.0,0.11309,0.69787,0.0,0.0,0.0,0.27996,0.0,0.61031,0.0,0.0,0.0,9
0.50649,0.00753,0.00843,0.8148,0.00038,4.00615,0.64994,4.5586,1.27377,1.26362,0.01881,0.87052,0.18564,0.0,0.10565,0.73467,0.0,0.0,0.0,0.27549,0.0,0.77629,0.0,0.0,0.0,9
0.50109,0.00427,0.01085,0.88251,0.0003,3.73881,0.52004,5.04375,1.14323,2.36211,0.02419,0.9,0.22619,0.0,0.08309,0.95,0.0,0.0,0.0,0.28764,0.0,0.65019,0.0,0.0,0.0,7
0.50421,0.00567,0.01279,0.91928,0.00048,3.37618,0.67143,4.90479,1.61257,2.23604,0.01869,0.9,0.19603,0.0,0.09991,0.80127,0.0,0.0,0.0,0.32067,0.0,0.77429,0.0,0.0,0.0,9
0.51232,0.00574,0.00617,0.86891,0.0003,3.83856,0.72027,5.36369,1.88856,1.68276,0.01783,0.63834,0.21955,0.0,0.07808,0.93358,0.0,0.0,0.0,0.42251,0.0,0.63465,0.0,0.0,0.0,8
0.54199,0.00493,0.00468,0.93419,0.00042,4.35526,0.75489,2.6909,2.54986,2.82398,0.02204,0.73726,0.19877,0.0,0.06959,0.95,0.0,0.0,0.0,0.37647,0.0,0.61621,0.0,0.0,0.0,7
0.54107,0.00718,0.00699,0.78792,0.00036,4.3045,0.58815,5.27498,1.16595,2.3867,0.0238,0.7867,0.19538,0.0,0.09188,0.9302,0.0,0.0,0.0,0.43573,0.0,0.65905,0.0,0.0,0.0,6
0.51159,0.00436,0.01282,0.84816,0.0004,4.68426,0.74794,4.4301,1.4222,1.45688,0.01259,0.9,0.21378,0.0,0.07924,0.81136,0.0,0.0,0.0,0.29939,0.0,0.76977,0.0,0.0,0.0,9
0.45438,0.00543,0.00438,0.86125,0.00044,2.7819,0.65257,3.49608,1.29924,1.9004,0.01987,0.9,0.20145,0.0,0.08343,0.63305,0.0,0.0,0.0,0.21184,0.0,0.76415,0.0,0.0,0.0,9
0.53353,0.00541,0.00818,0.89479,0.00037,4.04632,0.65595,5.03202,1.64829,2.30893,0.01635,0.78261,0.17082,0.0,0.07604,0.8754,0.0,0.0,0.0,0.18879,0.0,0.85247,0.0,0.0,0.0,6
0.58168,0.00492,0.00505,0.94274,0.00037,4.23397,0.64228,4.11005,2.34266,1.90171,0.02338,0.78953,0.17485,0.0,0.08336,0.72286,0.0,0.0,0.0,0.30043,0.0,0.76885,0.0,0.0,0.0,8
0.5501,0.00444,0.00521,0.89606,0.00042,3.66999,0.58952,5.53238,1.54818,1.18025,0.0206,0.80044,0.17309,0.0,0.08043,0.79959,0.0,0.0,0.0,0.2661,0.0,0.58304,0.0,0.0,0.0,7
0.53149,0.00375,0.00892,0.87108,0.00036,3.26552,0.52587,4.5884,1.71785,2.60911,0.01483,0.869,0.18624,0.0,0.07126,0.91097,0.0,0.0,0.0,0.26674,0.0,0.8184,0.0,0.0,0.0,6
0.48733,0.00573,0.00469,0.87766,0.0004,3.78038,0.73958,4.8115,1.10957,2.92657,0.01566,0.80335,0.21202,0.0,0.07786,0.72662,0.0,0.0,0.0,0.31156,0.0,0.7976,0.0,0.0,0.0,8
0.53937,0.00714,0.0127,0.98,0.00048,4.77591,0.76866,4.18457,0.96308,2.26439,0.01462,0.87857,0.17321,0.0,0.09027,0.72554,0.0,0.0,0.0,0.3036,0.0,0.73245,0.0,0.0,0.0,8
0.54429,0.0046,0.00846,0.92927,0.00036,4.80589,0.7622,4.92192,2.13304,1.3448,0.01168,0.76861,0.15958,0.0,0.06652,0.83212,0.0,0.0,0.0,0.34549,0.0,0.78346,0.0,0.0,0.0,5
